id,text
1072151648363933696,@ZeeNewsHindi @MamataOfficial Citizen of India has also talent to know their leaders.
1063145288070705152,@irctc_app we are traveling in train number 10111 in S4 with such a pathetic experience by Indian railways. No helpline are working for security. And local tickets passenger are traveling in coach. We have paid money for reservations but it seems that it is of no use. Help us.
1063115410898186245,@indianrail - train number 10111 will arrived on which platform on Dadar railway station please let us know. Here no indicator is showing any update. We are waiting for last 20 minutes. We are with family and children. Please help us.
1023105636534444033,"I want to change my boarding station. But no help is getting from customer care number. My pnr is 8107960331 and boarding station is Rajkot. But I want to change it to viramgam as I can't reach that station till the time reach.

So please help me."
945796071879598081,"@UberINSupport Hi my contact number is 9224207997.

I have already communicated in help of your application."
945744712530460672,"@UberINSupport 

today we have a pathetic experience from Uber and we need a justice from you for giving us scary trip from virar to Dombivali.

As your driver was greedy person and has demanded which he is not liable. We need a help from you at any cost.we wil fight for justice"
933940085615050752,Vodafone is a worst company I have seen in my entire life. Regarding network issue I have complaint in the month of July but still no reply.
920228486463160320,"@WesternRly - sir in train 12931 a/c is not working.

Please help us.

Inspite of complaints no body is looking at the problems."
893120362505961476,https://t.co/1L3M0rCcXp
888260753748180992,@ChouhanShivraj Good job sir. We can't compare that sacrifice with compensation. But it is good to understand the feeling of family who lost their son.
