id,text
1075135937909121024,I'm raising money for Boob Job  https://t.co/IjPRZxA8zr via @gofundme
1075135496588689408,@realDonaldTrump ❤️
1075126137020329984,☹️ https://t.co/IHtim7ka0G
1074780291120517120,"To think I used to think about us when I listened to Him and I by G Easy, we didn't turn out to be partners in crimes like Bonnie and Clyde. I'll just make my kids miserable by constantly bashing their dad #FuckThem"
1074779423662956544,Stayin Alive by Bee Gees is on repeat! #GonnaBeatBreastCancer
1074779059710611456,"I just found out I had breast cancer, that is so sad and scary"
1074778960452415488,I have such dumb kids #fml
1074778827128098817,"Trujillo tried to come after me, but my fight will always keep me alive, me and my precious baby"
1074778645187616768,"Just like Sam Smith, I was never the only one #liedto 😢"
1074777388561575937,"He lied to me, he had a whole ass wife, Trujillo's sister"
