id,text
1074757566658273280,He's world's famous criminal congress https://t.co/mMK7l9oAig
1073644954373607424,Rahul Ghandi ne Sachin paylat or jyoutiaditay shindiya kho dhoka diya ye https://t.co/4Ejr1fjKZ8
1070903881087967233,@PiyushGoyal @narendramodi All Rajasthan win bjp 185sets
1070557995614892033,@narendramodi Bjp win now election
1069042625456422913,@sadhvi006 Yes Indian army is best forces
1068680758913466368,@narendramodi @aktripathibjp Bjp win all india
1067616895698759681,@AmitShah Always
1067124273276276736,Yes your alright https://t.co/0MAVHYLh2Q
1067102592595976192,Muslim community people very bad  actvies https://t.co/8ZoV9cHScW
1066985888826060800,@OfficeofSSC @ChouhanShivraj @BJP4MP All is well morning ministers
