id,text
1068996259833368578,@MarinaSilva Você está se aproveitando de uma manchete que não reflete a realidade do que foi dito
1068995679740198912,"@g1 a manchete não traduz o que o Presidente falou. Pelo contrário, ele valorizou os indígenas, como pessoas merecedoras de respeito, em igualdade a quaisquer outras pessoas"
1068986062285012992,"@BlogDoPim Pelo que foi falado a manchete poderia ter sido: ""Bolsonaro diz que os índios são pessoas iguais a quaisquer um de nós"". Foi o que ele disse."
1064302421437022208,@jairbolsonaro Boa noite. Porque os médicos formados em faculdades públicas ou que recebem bolsas do governo não assumem um compromisso de prestar serviço compulsório durante pelo menos dois anos? Seria retribuição à sociedade pelo estudo que recebeu de graça da mesma sociedade.
1063032767703859200,"@Gen_VillasBoas Caro comandante Villas Boas. Obrigado pelos belos momentos que nos ofereceu durante sua visita ao CMS. Acima de tudo, tivemos o privilégio de receber sua extraordinária lição de vida. ABRAÇO FIRME!"
1060614913641639937,@esquerdanao Precisa ser extinto
1057734090739343365,"@SergioMoroJuiz Boa tarde. Não aceite o Min Justiça. Mantenha sua brilhante carreira jurídica. Está mais do que visível que o Brasil precisa de melhores juízes, especialmente no Supremo Tribunal."
1057733655290961920,"@SergioMoroJuiz Boa tarde. Não aceite o Ministério da Justiça. Tem tudo para dar errado. Se há reforma necessária é a de acabar com as autoridades pularem de um lado para outro. Se um juiz quer passar para a política, então que desista da carreira. Assim já fazem os militares."
1057733022198497280,@SergioMoroJuiz Boa tarde. Não aceite o convite para o ministério da Justiça. Isto tem tudo para dar errado. Outros poderão elaborar o plano anti corrupção. Não haverá outro que continue a Lava-jato. Vai fornecer argumento para os esquerdistas lhe taxarem de politiqueiro.
1053067126620241921,@BlogDoPim Muito bom
