id,text
1074863387279024128,@alapahi @PaulBurns1920 @adamgreeney @mspricklefinger @Tara_lyn1 Plus I just hope the kid is smart in general
1074861762653114371,@alapahi @PaulBurns1920 @adamgreeney @mspricklefinger @Tara_lyn1 Hope for Emma’s kid not MRA or whatever I was just making a joke not siding with them
1074860272492384256,@alapahi @PaulBurns1920 @adamgreeney @mspricklefinger @Tara_lyn1 How am I right leaning is it because you do not like me so you put me into that group so you can write me off easily
1074848145660657664,@mspricklefinger @PaulBurns1920 @adamgreeney @Tara_lyn1 Well I’m sorry Emma I can’t please everyone
1074840057087971328,"RT @EsemicolonR: Retweet if you're 
 - gay 
 - depressed 
 - stressed over finals 
 - bi (gay) 
 - in love with someone you can’t have 
 -…"
1074839528865742848,@alapahi @PaulBurns1920 @adamgreeney @mspricklefinger @Tara_lyn1 Whoa I’m not a racist
1074410238181339137,@AFP Nice boy
1074410026717077505,@TheMichaelRock @Tara_lyn1 Oh my lord if a guy wins I’m gonna do a backflip
1074409624818892801,@TitaniaMcGrath https://t.co/ZhJh9L9vyt
1074375540528828416,@PaulBurns1920 @sardonicbarbie @adamgreeney @mspricklefinger @Tara_lyn1 Well thanks that’s why I don’t hate you at all you tried and I appreciate that keep up the cause
