id,text
1075094270334382080,A palabras machistas oidos violetas.
1075093557915107328,RT @FraRocanroleras: Se caen de culo cuando tenes las mismas actitudes que tienen con vos
1075091576664309760,Que chusma este pueblo. Metanse en su vida y dejen vivir. gracias
1075090821895122945,RT @FraRocanroleras: Me quedaría toda la vida en un abrazo tuyo
1075037992916541440,"Mama quiere tomar mate ,yo quiero tomar pero a ninguna le da para aprontarlo"
1074981326351155200,RT @FraRocanroleras: SONREÍ dale. No hay nada en el mundo que les dé más bronca que verte bien.
1074853215966035968,••Ojala sigas acá cuando las cosas se compliquen••
1074850978707447810,Con vos.
1074850896054550528,Quiero dormir.
1074844654749839360,RT @IndirectasRock: Se podrá volver a amar con tanta intensidad después de que te hicieron mierda en mil pedazos?
