id,text
1074547466173865984,"@Sak4Pime @ldobartra Demonios, creo que no me saldrá bien la receta :'v"
1074535740535656448,@Sak4Pime @MapacheRants @Gettzo Nel
1074533862640893952,@Sak4Pime @MapacheRants @Gettzo Eso hago y apenas sobrevivo con mi Switch :'v
1074528031094513666,@Sak4Pime @MapacheRants @Gettzo Estan muy caros we :'v
1074070935601336321,RT @YouTube: New record!! Oh...wait. https://t.co/hgmHkV8tK5
1073672636310401029,"RT @RockstarGames: Red Dead Online Beta update:
 
As a thanks for your ongoing support, we're awarding everyone who played so far a gift of…"
1073669225695338499,@MapacheRants Me gustaría jugar #SuperSmashBrosUltimate con @Gettzo y @Sak4Pime aún que no tengan el Switch :v
1073668744520630273,"RT @MapacheRants: ¡GÁNATE SMASH ULTIMATE Y UNA SUSCRIPCIÓN A NINTENDO SWITCH ONLINE!

Checa el video y sigue los pasos para participar. ¡RT…"
1070948217678950400,"@RAUNA101 @hdz_mancilla @christianEdSV @LevelUPcom @corybarlog Celeste es muy bueno, jugué su versión de Switch y me gustó, no puedo decir que es el mejor indie que he jugado, pero solo espero que Matt Makes, sigan haciendo juegos de tal calidad"
1070944794908745731,"@RAUNA101 @hdz_mancilla @christianEdSV @LevelUPcom @corybarlog La historia si bien es sólida tiene una premisa bastante hueca, que no me convence del todo. Jugué 4 de los nominados (Celeste, GOW, Spiderman y Red Dead) GOW es excelente, pero siendo objetivos; en cuanto a producto de mayor calidad es claro: RDR2, pero como juego spiderman..."
