id,text
1074932503755005952,@WAVEDUPZO Black porn is greasy and sweaty like them.
1074903670028947456,@thekapman Hell you might be right Dave! Niggers get too much credit!
1074818446314127360,Who’s going to hire you with that hair this is why black people can’t and won’t evolve. https://t.co/PkDlx7GQIV
1074816594407088129,Racist people are so close minded and ignorant. Can’t relate.
1074808677700419584,RT @NSAYoungboy: looka dis ugly ass nigga lmao😂😂😂😂 https://t.co/Mk4o47ONzI
1074807072104046592,@YonceVocals The most gassed monkey there ever was
1074802374785593344,Black people will never evolve they’re always looking for a handout.
1074801404382867456,Niggers look exactly like monkeys when their face gets burnt. #stoptheevolution
1074800515681181696,@CNN We had sex last week and I didn’t receive my payment. Karma is a bitch.
1074799809456947206,@mjsmith1712 @kanyewest That I am! #Jesuslovesme
