id,text
1074824504046747648,@_KammySosa @cheechsuschrist BIG FACTS 😩😂 @thats_chels
1074782950909186048,RT @Le0917Le: Her name is Karly Dickerson and she goes to Morrison Knolls high school https://t.co/9O7XZt3zre
1074760662256181249,LMFAOOO https://t.co/YdkZkjTobq
1074753148986818563,RT @shanmpt: Offset meeting the rest of the toxic male rappers backstage after manipulating Cardi live https://t.co/CucCbcdxtP
1074502357591973888,@nickccerino @emilycarnes_ Hol up @thats_chels https://t.co/1uVnjiYjqm
1074116721978560513,@ItsAhmir This is attempted murder 💀💀 @thats_chels
1074084471941537792,"RT @LexLexOD: Me: trying to merge onto the highway 

Floridians : https://t.co/DyNViHDPe0"
1073926140824350720,@fatandfem 💀💀💀💀💀💀💀💀💀💀 @thats_chels
1073337155899064328,RT @Lucia__Blanco: Locals will tell you “moving away won’t resolve your inner issues” this is very factual but I’m a strong believer in you…
1073037221157048321,RT @localblackgirl: i ordered a 8-count from cfa and they ended up giving me 10 they can def call me a nigger any time they want!
